file,start_time,end_time,RA_SI_MU
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220620_113000_0-10s.wav,8.0,10.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220626_194500_0-10s.wav,0.0,2.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220626_194500_0-10s.wav,2.0,4.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220626_194500_0-10s.wav,4.0,6.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220626_194500_0-10s.wav,6.0,8.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220626_194500_0-10s.wav,8.0,10.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220624_043000_0-10s.wav,0.0,2.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220624_043000_0-10s.wav,2.0,4.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220624_043000_0-10s.wav,4.0,6.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220624_043000_0-10s.wav,8.0,10.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_080000_0-10s.wav,0.0,2.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_080000_0-10s.wav,2.0,4.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_080000_0-10s.wav,4.0,6.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_080000_0-10s.wav,6.0,8.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_080000_0-10s.wav,8.0,10.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_233000_0-10s.wav,0.0,2.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_233000_0-10s.wav,2.0,4.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_233000_0-10s.wav,4.0,6.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_233000_0-10s.wav,6.0,8.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_233000_0-10s.wav,8.0,10.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220623_023000_0-10s.wav,0.0,2.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220623_023000_0-10s.wav,2.0,4.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220623_023000_0-10s.wav,4.0,6.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220623_023000_0-10s.wav,6.0,8.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220623_023000_0-10s.wav,8.0,10.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220626_013000_0-10s.wav,0.0,2.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220626_013000_0-10s.wav,2.0,4.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220626_013000_0-10s.wav,4.0,6.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220626_013000_0-10s.wav,6.0,8.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220626_013000_0-10s.wav,8.0,10.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_143000_0-10s.wav,0.0,2.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_143000_0-10s.wav,2.0,4.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_143000_0-10s.wav,8.0,10.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220624_180000_0-10s.wav,0.0,2.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220624_180000_0-10s.wav,2.0,4.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220624_180000_0-10s.wav,4.0,6.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220624_180000_0-10s.wav,6.0,8.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220624_180000_0-10s.wav,8.0,10.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220621_073000_0-10s.wav,0.0,2.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220621_073000_0-10s.wav,2.0,4.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220621_073000_0-10s.wav,4.0,6.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220621_073000_0-10s.wav,8.0,10.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_170000_0-10s.wav,0.0,2.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_170000_0-10s.wav,2.0,4.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_170000_0-10s.wav,4.0,6.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_170000_0-10s.wav,6.0,8.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_170000_0-10s.wav,8.0,10.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220625_154500_0-10s.wav,0.0,2.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220625_154500_0-10s.wav,2.0,4.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220625_154500_0-10s.wav,4.0,6.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220625_154500_0-10s.wav,6.0,8.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220625_154500_0-10s.wav,8.0,10.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220620_214500_0-10s.wav,0.0,2.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220620_214500_0-10s.wav,2.0,4.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220620_214500_0-10s.wav,4.0,6.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220620_214500_0-10s.wav,6.0,8.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220620_214500_0-10s.wav,8.0,10.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220626_020000_0-10s.wav,0.0,2.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220626_020000_0-10s.wav,2.0,4.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220626_020000_0-10s.wav,4.0,6.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220626_020000_0-10s.wav,6.0,8.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220626_020000_0-10s.wav,8.0,10.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220621_004500_0-10s.wav,0.0,2.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220621_004500_0-10s.wav,2.0,4.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220621_004500_0-10s.wav,4.0,6.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220621_004500_0-10s.wav,6.0,8.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220621_004500_0-10s.wav,8.0,10.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_134500_0-10s.wav,0.0,2.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_134500_0-10s.wav,2.0,4.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_134500_0-10s.wav,4.0,6.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_134500_0-10s.wav,6.0,8.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_134500_0-10s.wav,8.0,10.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220625_110000_0-10s.wav,0.0,2.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220625_110000_0-10s.wav,2.0,4.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220625_110000_0-10s.wav,4.0,6.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220625_110000_0-10s.wav,6.0,8.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220625_110000_0-10s.wav,8.0,10.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220621_040000_0-10s.wav,0.0,2.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220621_040000_0-10s.wav,2.0,4.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220621_040000_0-10s.wav,4.0,6.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220621_040000_0-10s.wav,6.0,8.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220621_040000_0-10s.wav,8.0,10.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220621_183000_0-10s.wav,0.0,2.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220621_183000_0-10s.wav,2.0,4.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220621_183000_0-10s.wav,4.0,6.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220621_183000_0-10s.wav,6.0,8.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220621_183000_0-10s.wav,8.0,10.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220624_070000_0-10s.wav,0.0,2.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220624_070000_0-10s.wav,2.0,4.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220624_070000_0-10s.wav,4.0,6.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220624_070000_0-10s.wav,6.0,8.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220624_070000_0-10s.wav,8.0,10.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220623_054500_0-10s.wav,0.0,2.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220623_054500_0-10s.wav,2.0,4.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220623_054500_0-10s.wav,4.0,6.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220623_054500_0-10s.wav,6.0,8.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220623_054500_0-10s.wav,8.0,10.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220620_120000_0-10s.wav,0.0,2.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220620_120000_0-10s.wav,2.0,4.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220620_120000_0-10s.wav,4.0,6.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220620_120000_0-10s.wav,6.0,8.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220620_120000_0-10s.wav,8.0,10.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_200000_0-10s.wav,0.0,2.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_200000_0-10s.wav,2.0,4.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_200000_0-10s.wav,4.0,6.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_200000_0-10s.wav,6.0,8.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_200000_0-10s.wav,8.0,10.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220623_010000_0-10s.wav,0.0,2.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220623_010000_0-10s.wav,2.0,4.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220623_010000_0-10s.wav,4.0,6.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220623_010000_0-10s.wav,6.0,8.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220623_010000_0-10s.wav,8.0,10.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220620_164500_0-10s.wav,2.0,4.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220620_164500_0-10s.wav,4.0,6.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220620_164500_0-10s.wav,6.0,8.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220620_164500_0-10s.wav,8.0,10.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220621_000000_0-10s.wav,0.0,2.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220621_000000_0-10s.wav,2.0,4.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220621_000000_0-10s.wav,4.0,6.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220621_000000_0-10s.wav,6.0,8.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220621_000000_0-10s.wav,8.0,10.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220626_024500_0-10s.wav,0.0,2.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220626_024500_0-10s.wav,2.0,4.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220626_024500_0-10s.wav,4.0,6.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220626_024500_0-10s.wav,8.0,10.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220625_150000_0-10s.wav,0.0,2.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220625_150000_0-10s.wav,2.0,4.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220625_150000_0-10s.wav,4.0,6.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220625_150000_0-10s.wav,6.0,8.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220625_150000_0-10s.wav,8.0,10.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_174500_0-10s.wav,0.0,2.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_174500_0-10s.wav,2.0,4.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_174500_0-10s.wav,4.0,6.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_174500_0-10s.wav,6.0,8.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_174500_0-10s.wav,8.0,10.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220621_044500_0-10s.wav,0.0,2.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220621_044500_0-10s.wav,2.0,4.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220621_044500_0-10s.wav,4.0,6.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220621_044500_0-10s.wav,6.0,8.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220621_044500_0-10s.wav,8.0,10.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220626_060000_0-10s.wav,0.0,2.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220626_060000_0-10s.wav,2.0,4.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220626_060000_0-10s.wav,4.0,6.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220626_060000_0-10s.wav,6.0,8.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220626_060000_0-10s.wav,8.0,10.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220623_193000_0-10s.wav,0.0,2.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220623_193000_0-10s.wav,2.0,4.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220623_193000_0-10s.wav,4.0,6.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220623_193000_0-10s.wav,6.0,8.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220623_193000_0-10s.wav,8.0,10.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220625_114500_0-10s.wav,0.0,2.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220625_114500_0-10s.wav,2.0,4.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220625_114500_0-10s.wav,4.0,6.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220625_114500_0-10s.wav,6.0,8.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220625_114500_0-10s.wav,8.0,10.0,0.0
