recorder_code,clip id,annotation_file,card,site,dropoff:Point_ID,audio_file,annotation,start_time,end_time,low_f,high_f,Delta Time (s),Delta Freq (Hz),Channel,Selection,Notes,View,Avg Power Density (dB FS/Hz)
M12-2318,447,20240620_070000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0447_MSD-2334_20240620_070000.WAV,RASI_B,3.357424565,3.93959082,246.845,961.665,0.5822,714.821,1,6,,Spectrogram 1,-64.41
M12-2318,447,20240620_070000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0447_MSD-2334_20240620_070000.WAV,RASI_B,4.059214023,4.625430517,267.415,992.521,0.5662,725.106,1,7,,Spectrogram 1,-64.69
M12-2318,447,20240620_070000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0447_MSD-2334_20240620_070000.WAV,RASI_B,4.72910396,5.414943657,226.274,1002.806,0.6858,776.532,1,8,,Spectrogram 1,-64.86
M12-2318,447,20240620_070000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0447_MSD-2334_20240620_070000.WAV,RASI_B,5.542541741,5.997109912,231.417,1007.949,0.4546,776.532,1,9,,Spectrogram 1,-61.3
M12-2318,447,20240620_070000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0447_MSD-2334_20240620_070000.WAV,RASI_A,7.799432838,8.142352687,221.132,1527.351,0.3429,1306.219,1,10,,Spectrogram 1,-47.55
M12-2318,447,20240620_070000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0447_MSD-2334_20240620_070000.WAV,RASI_A,9.456513227,9.759558674,236.559,1059.375,0.303,822.815,1,11,,Spectrogram 1,-56.05
M12-2318,447,20240620_070000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0447_MSD-2334_20240620_070000.WAV,RASI_A,10.301850528,10.652745257,174.848,2417.02,0.3509,2242.171,1,12,,Spectrogram 1,-49.46
M12-2318,447,20240620_070000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0447_MSD-2334_20240620_070000.WAV,RASI_A,13.730708551,14.10552792,138.85,1640.488,0.3748,1501.638,1,15,,Spectrogram 1,-53.67
M12-2318,447,20240620_070000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0447_MSD-2334_20240620_070000.WAV,RASI_?,21.081655805,21.28102781,678.823,899.954,0.1994,221.132,1,16,,Spectrogram 1,-71.53
M12-2484,367,20240610_130000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0367_MSD-4197_20240610_130000.WAV,RASI_E,0.78951314,1.874096848,272.558,1486.21,1.0846,1213.652,1,1,,Spectrogram 1,-50.19
M12-2484,367,20240610_130000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0367_MSD-4197_20240610_130000.WAV,RASI_E,4.33035995,5.478742699,365.124,1686.771,1.1484,1321.647,1,2,,Spectrogram 1,-65.2
M12-2484,367,20240610_130000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0367_MSD-4197_20240610_130000.WAV,RASI_E,7.289040505,7.974880202,380.552,853.671,0.6858,473.119,1,3,,Spectrogram 1,-56.4
M12-2484,367,20240610_130000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0367_MSD-4197_20240610_130000.WAV,RASI_E,8.238051249,8.876041665,370.267,1671.343,0.638,1301.076,1,4,,Spectrogram 1,-56.79
M12-2484,367,20240610_130000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0367_MSD-4197_20240610_130000.WAV,RASI_E,11.541078815,12.466164918,375.409,1249.651,0.9251,874.241,1,5,,Spectrogram 1,-51.17
M12-2484,367,20240610_130000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0367_MSD-4197_20240610_130000.WAV,RASI_E,15.1328162,15.810681017,267.415,2082.751,0.6779,1815.336,1,6,,Spectrogram 1,-52.84
M12-2484,367,20240610_130000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0367_MSD-4197_20240610_130000.WAV,RASI_E,19.629034483,20.546145706,370.267,1223.938,0.9171,853.671,1,7,,Spectrogram 1,-57.76
M12-2484,367,20240610_130000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0367_MSD-4197_20240610_130000.WAV,RASI_E,24.574770333,25.555680598,349.696,1121.086,0.9809,771.389,1,8,,Spectrogram 1,-57.52
M12-2484,367,20240610_130000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0367_MSD-4197_20240610_130000.WAV,RASI_E,26.93085877,27.832020233,277.7,1295.934,0.9012,1018.234,1,9,,Spectrogram 1,-48.71
M12-2432,418,20240622_130000,MSD-1743,Rainbow meadows,SINE0098,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0418_MSD-1743_20240622_130000.WAV,RASI_?,2.224991576,2.591836066,344.554,827.958,0.3668,483.404,1,1,,Spectrogram 1,-71.0
M12-2432,418,20240622_130000,MSD-1743,Rainbow meadows,SINE0098,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0418_MSD-1743_20240622_130000.WAV,RASI_A,4.545681715,4.904551325,390.837,941.095,0.3589,550.258,1,2,,Spectrogram 1,-72.29
M12-2432,418,20240622_130000,MSD-1743,Rainbow meadows,SINE0098,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0418_MSD-1743_20240622_130000.WAV,RASI_?,21.230173711,21.541194039,313.698,781.674,0.311,467.976,1,3,,Spectrogram 1,-71.1
M12-2318,466,20240620_140000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0466_MSD-2334_20240620_140000.WAV,RASI_A,2.663609988,3.197926961,179.991,2334.738,0.5343,2154.747,1,1,,Spectrogram 1,-53.88
M12-2318,466,20240620_140000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0466_MSD-2334_20240620_140000.WAV,RASI_B,0.095698562,0.422668651,303.413,689.108,0.327,385.695,1,2,,Spectrogram 1,-70.88
M12-2318,466,20240620_140000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0466_MSD-2334_20240620_140000.WAV,RASI_E,9.949583332,11.082016321,226.274,1013.091,1.1324,786.817,1,3,,Spectrogram 1,-67.52
M12-2318,466,20240620_140000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0466_MSD-2334_20240620_140000.WAV,RASI_E,11.688107216,12.326097632,298.27,1069.66,0.638,771.389,1,4,,Spectrogram 1,-72.1
M12-2318,466,20240620_140000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0466_MSD-2334_20240620_140000.WAV,RASI_E,12.924213648,13.41865622,0.0,1090.23,0.4944,1090.23,1,5,,Spectrogram 1,-48.97
M12-2318,466,20240620_140000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0466_MSD-2334_20240620_140000.WAV,RASI_A,14.21614424,14.638812891,164.563,1218.795,0.4227,1054.232,1,6,,Spectrogram 1,-39.74
M12-2318,466,20240620_140000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0466_MSD-2334_20240620_140000.WAV,RASI_A,16.337462374,16.744181265,133.707,1403.928,0.4067,1270.221,1,7,,Spectrogram 1,-37.38
M12-2318,466,20240620_140000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0466_MSD-2334_20240620_140000.WAV,RASI_A,19.547913233,20.090205087,138.85,1198.225,0.5423,1059.375,1,8,,Spectrogram 1,-44.48
M12-2318,466,20240620_140000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0466_MSD-2334_20240620_140000.WAV,RASI_D,22.044050736,22.474694267,159.42,1213.652,0.4306,1054.232,1,9,,Spectrogram 1,-36.72
M12-2398,114,20240609_110000,MSD-4280,Dot Lake 12052,SINE0139,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0114_MSD-4280_20240609_110000.WAV,RASI_A,17.051021868,17.346092435,1182.797,1825.621,0.2951,642.824,1,1,,Spectrogram 1,-72.98
M12-2398,114,20240609_110000,MSD-4280,Dot Lake 12052,SINE0139,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0114_MSD-4280_20240609_110000.WAV,RASI_A,20.049576824,20.28882323,683.965,1409.071,0.2392,725.106,1,2,,Spectrogram 1,-71.14
M12-2398,114,20240609_110000,MSD-4280,Dot Lake 12052,SINE0139,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0114_MSD-4280_20240609_110000.WAV,RASI_A,24.249352073,24.592271921,1079.945,2041.61,0.3429,961.665,1,3,,Spectrogram 1,-71.47
M12-2398,114,20240609_110000,MSD-4280,Dot Lake 12052,SINE0139,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0114_MSD-4280_20240609_110000.WAV,RASI_A,6.941285832,7.188507118,1074.802,1671.343,0.2472,596.541,1,4,,Spectrogram 1,-76.57
M12-2564,312,20240502_010000,MSD-4160,,SINE0167,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0312_MSD-4160_20240502_010000.WAV,RASI_E,9.634427365,10.846609156,334.269,1645.63,1.2122,1311.362,1,1,,Spectrogram 1,-68.58
M12-2564,312,20240502_010000,MSD-4160,,SINE0167,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0312_MSD-4160_20240502_010000.WAV,RASI_?,12.896449728,13.805586071,287.985,1460.497,0.9091,1172.512,1,2,,Spectrogram 1,-62.37
M12-2620,667,20240614_120000,MSD-1963,50731 Sleet,SINE0081,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0667_MSD-1963_20240614_120000.WAV,RASI_?,4.920501085,5.550516621,879.384,1635.345,0.63,755.961,1,1,,Spectrogram 1,-74.13
M12-2620,667,20240614_120000,MSD-1963,50731 Sleet,SINE0081,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0667_MSD-1963_20240614_120000.WAV,RASI_?,14.462710445,15.124625502,951.38,2386.164,0.6619,1434.784,1,2,,Spectrogram 1,-71.18
M12-2620,667,20240614_120000,MSD-1963,50731 Sleet,SINE0081,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0667_MSD-1963_20240614_120000.WAV,RASI_?,12.620513119,12.931533447,1146.799,1465.64,0.311,318.841,1,3,,Spectrogram 1,-72.74
M12-2620,667,20240614_120000,MSD-1963,50731 Sleet,SINE0081,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0667_MSD-1963_20240614_120000.WAV,RASI_?,13.314327696,13.617373144,1146.799,1419.356,0.303,272.558,1,4,,Spectrogram 1,-73.4
M12-2620,667,20240614_120000,MSD-1963,50731 Sleet,SINE0081,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0667_MSD-1963_20240614_120000.WAV,RASI_?,16.301562471,16.843854324,1141.656,1861.619,0.5423,719.963,1,5,,Spectrogram 1,-73.3
M12-2620,667,20240614_120000,MSD-1963,50731 Sleet,SINE0081,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0667_MSD-1963_20240614_120000.WAV,RASI_?,18.63820237,19.252268145,1121.086,2046.753,0.6141,925.667,1,6,,Spectrogram 1,-71.59
M12-2620,667,20240614_120000,MSD-1963,50731 Sleet,SINE0081,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0667_MSD-1963_20240614_120000.WAV,RASI_?,24.509141361,24.820161689,627.397,1177.654,0.311,550.258,1,7,,Spectrogram 1,-71.89
M12-2620,667,20240614_120000,MSD-1963,50731 Sleet,SINE0081,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0667_MSD-1963_20240614_120000.WAV,RASI_?,24.780287288,25.171056418,1095.373,2144.462,0.3908,1049.089,1,8,,Spectrogram 1,-71.33
M12-2620,667,20240614_120000,MSD-1963,50731 Sleet,SINE0081,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0667_MSD-1963_20240614_120000.WAV,RASI_?,26.805906859,27.260475031,946.237,1959.329,0.4546,1013.091,1,9,,Spectrogram 1,-74.38
M12-2620,667,20240614_120000,MSD-1963,50731 Sleet,SINE0081,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0667_MSD-1963_20240614_120000.WAV,RASI_?,27.946314728,28.209485775,1018.234,1820.479,0.2632,802.245,1,10,,Spectrogram 1,-76.9
M12-2620,667,20240614_120000,MSD-1963,50731 Sleet,SINE0081,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0667_MSD-1963_20240614_120000.WAV,RASI_?,28.735827868,29.022923555,915.382,2118.749,0.2871,1203.367,1,11,,Spectrogram 1,-70.73
M12-2564,333,20240502_020000,MSD-4160,,SINE0167,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0333_MSD-4160_20240502_020000.WAV,RASI_E,0.031899521,0.653940177,339.411,1331.932,0.622,992.521,1,1,,Spectrogram 1,-60.71
M12-2564,333,20240502_020000,MSD-4160,,SINE0167,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0333_MSD-4160_20240502_020000.WAV,RASI_E,2.217016696,2.918806154,267.415,1270.221,0.7018,1002.806,1,2,,Spectrogram 1,-64.69
M12-2564,333,20240502_020000,MSD-4160,,SINE0167,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0333_MSD-4160_20240502_020000.WAV,RASI_A,4.394158992,5.215571652,287.985,1491.352,0.8214,1203.367,1,3,,Spectrogram 1,-63.01
M12-2564,333,20240502_020000,MSD-4160,,SINE0167,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0333_MSD-4160_20240502_020000.WAV,RASI_A,7.783483078,8.517172056,267.415,1753.625,0.7337,1486.21,1,4,,Spectrogram 1,-61.83
M12-2564,333,20240502_020000,MSD-4160,,SINE0167,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0333_MSD-4160_20240502_020000.WAV,RASI_A,10.562357202,11.335920582,359.982,1830.764,0.7736,1470.782,1,5,,Spectrogram 1,-61.05
M12-2564,333,20240502_020000,MSD-4160,,SINE0167,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0333_MSD-4160_20240502_020000.WAV,RASI_A,14.41422434,15.267536521,349.696,2031.325,0.8533,1681.628,1,6,,Spectrogram 1,-61.45
M12-2564,333,20240502_020000,MSD-4160,,SINE0167,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0333_MSD-4160_20240502_020000.WAV,RASI_A,18.264316223,18.998005201,370.267,2309.025,0.7337,1938.758,1,7,,Spectrogram 1,-60.35
M12-2361,289,20240529_030000,MSD-4259,Rock Lake 12069,SINE0137,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0289_MSD-4259_20240529_030000.WAV,RASI_?,7.767533317,8.541096697,308.556,1784.48,0.7736,1475.925,1,1,,Spectrogram 1,-51.7
M12-2361,289,20240529_030000,MSD-4259,Rock Lake 12069,SINE0137,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0289_MSD-4259_20240529_030000.WAV,RASI_?,12.942289737,13.652054075,303.413,1085.087,0.7098,781.674,1,2,,Spectrogram 1,-49.02
M12-2361,289,20240529_030000,MSD-4259,Rock Lake 12069,SINE0137,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0289_MSD-4259_20240529_030000.WAV,RASI_C,16.897830317,17.472021692,359.982,992.521,0.5742,632.539,1,3,,Spectrogram 1,-64.04
M12-2361,289,20240529_030000,MSD-4259,Rock Lake 12069,SINE0137,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0289_MSD-4259_20240529_030000.WAV,RASI_E,20.48170984,21.741740912,365.124,894.811,1.26,529.687,1,4,,Spectrogram 1,-69.14
M12-2361,289,20240529_030000,MSD-4259,Rock Lake 12069,SINE0137,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0289_MSD-4259_20240529_030000.WAV,RASI_E,27.319519847,28.069158586,329.126,1131.371,0.7496,802.245,1,5,,Spectrogram 1,-53.04
M12-2620,664,20240614_130000,MSD-1963,50731 Sleet,SINE0081,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0664_MSD-1963_20240614_130000.WAV,RASI_?,1.268005952,1.682699723,575.971,2247.314,0.4147,1671.343,1,1,,Spectrogram 1,-73.04
M12-2620,664,20240614_130000,MSD-1963,50731 Sleet,SINE0081,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0664_MSD-1963_20240614_130000.WAV,RASI_?,15.873942015,16.408258988,709.678,1563.349,0.5343,853.671,1,2,,Spectrogram 1,-73.96
M12-2620,664,20240614_130000,MSD-1963,50731 Sleet,SINE0081,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0664_MSD-1963_20240614_130000.WAV,RASI_?,17.325370212,17.787913263,668.537,1563.349,0.4625,894.811,1,3,,Spectrogram 1,-71.19
M12-2620,664,20240614_130000,MSD-1963,50731 Sleet,SINE0081,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0664_MSD-1963_20240614_130000.WAV,RASI_?,22.047648312,22.510191364,611.969,1578.777,0.4625,966.808,1,4,,Spectrogram 1,-68.54
M12-2620,664,20240614_130000,MSD-1963,50731 Sleet,SINE0081,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0664_MSD-1963_20240614_130000.WAV,RASI_?,26.585355147,26.792702033,786.817,1434.784,0.2073,647.967,1,5,,Spectrogram 1,-70.79
M12-2620,664,20240614_130000,MSD-1963,50731 Sleet,SINE0081,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0664_MSD-1963_20240614_130000.WAV,RASI_?,28.580564683,28.811836209,838.243,1599.347,0.2313,761.104,1,6,,Spectrogram 1,-71.45
M12-2620,664,20240614_130000,MSD-1963,50731 Sleet,SINE0081,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0664_MSD-1963_20240614_130000.WAV,RASI_?,29.122856537,29.346153183,791.96,1928.473,0.2233,1136.513,1,7,,Spectrogram 1,-73.11
M12-2477,229,20240625_020000,MSD-1751,Clyde Lake_,SINE0104,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0229_MSD-1751_20240625_020000.WAV,RASI_?,5.502506217,5.901250227,591.398,1126.228,0.3987,534.83,1,4,,Spectrogram 1,-70.49
M12-2496,260,20240621_010000,MSD-4180,,SINE0174,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0260_MSD-4180_20240621_010000.WAV,RASI_?,12.919378861,13.182549907,437.121,766.247,0.2632,329.126,1,1,,Spectrogram 1,-63.76
M12-2484,368,20240610_060000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0368_MSD-4197_20240610_060000.WAV,RASI_B,2.703484389,3.796042976,411.408,1002.806,1.0926,591.398,1,1,,Spectrogram 1,-64.62
M12-2484,368,20240610_060000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0368_MSD-4197_20240610_060000.WAV,RASI_E,5.383044137,5.965210391,359.982,1609.632,0.5822,1249.651,1,2,,Spectrogram 1,-53.91
M12-2484,368,20240610_060000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0368_MSD-4197_20240610_060000.WAV,RASI_E,7.911081161,8.557046457,308.556,1686.771,0.646,1378.215,1,3,,Spectrogram 1,-54.17
M12-2484,368,20240610_060000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0368_MSD-4197_20240610_060000.WAV,RASI_E,0.645965296,1.531176999,298.27,1167.369,0.8852,869.099,1,4,,Spectrogram 1,-57.32
M12-2484,368,20240610_060000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0368_MSD-4197_20240610_060000.WAV,RASI_E,1.634850442,2.623735587,431.978,1043.947,0.9889,611.969,1,5,,Spectrogram 1,-68.75
M12-2484,368,20240610_060000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0368_MSD-4197_20240610_060000.WAV,RASI_E,12.491103324,14.094054244,298.27,1686.771,1.603,1388.501,1,6,,Spectrogram 1,-57.81
M12-2484,368,20240610_060000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0368_MSD-4197_20240610_060000.WAV,RASI_E,15.425859238,16.223347258,251.987,1805.051,0.7975,1553.064,1,7,,Spectrogram 1,-57.42
M12-2484,368,20240610_060000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0368_MSD-4197_20240610_060000.WAV,RASI_?,16.326859559,16.813327252,329.126,1069.66,0.4865,740.534,1,8,,Spectrogram 1,-60.42
M12-2484,368,20240610_060000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0368_MSD-4197_20240610_060000.WAV,RASI_E,17.483217189,18.71932362,344.554,1172.512,1.2361,827.958,1,9,,Spectrogram 1,-55.75
M12-2484,368,20240610_060000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0368_MSD-4197_20240610_060000.WAV,RASI_?,18.910720745,19.389213557,354.839,1455.354,0.4785,1100.515,1,10,,Spectrogram 1,-62.03
M12-2484,368,20240610_060000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0368_MSD-4197_20240610_060000.WAV,RASI_E,22.375156426,23.092895644,262.272,1681.628,0.7177,1419.356,1,11,,Spectrogram 1,-54.51
M12-2484,368,20240610_060000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0368_MSD-4197_20240610_060000.WAV,RASI_E,23.986082227,25.254088179,282.843,1362.788,1.268,1079.945,1,12,,Spectrogram 1,-52.95
M12-2484,368,20240610_060000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0368_MSD-4197_20240610_060000.WAV,RASI_E,25.325862101,27.080335745,210.846,1357.645,1.7545,1146.799,1,13,,Spectrogram 1,-45.03
M12-2574,484,20240620_060000,MSD-2087,Rainbow meadows,SINE0096,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0484_MSD-2087_20240620_060000.WAV,RASI_A,0.071773922,0.350894729,534.83,1280.506,0.2791,745.676,1,1,,Spectrogram 1,-67.82
M12-2574,484,20240620_060000,MSD-2087,Rainbow meadows,SINE0096,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0484_MSD-2087_20240620_060000.WAV,RASI_E,1.331804994,1.642825322,503.974,1265.078,0.311,761.104,1,2,,Spectrogram 1,-60.85
M12-2574,484,20240620_060000,MSD-2087,Rainbow meadows,SINE0096,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0484_MSD-2087_20240620_060000.WAV,RASI_?,1.890046608,2.161192535,555.4,1326.789,0.2711,771.389,1,3,,Spectrogram 1,-67.41
M12-2574,484,20240620_060000,MSD-2087,Rainbow meadows,SINE0096,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0484_MSD-2087_20240620_060000.WAV,RASI_?,2.400438941,2.551961665,519.402,1311.362,0.1515,791.96,1,4,,Spectrogram 1,-68.92
M12-2574,484,20240620_060000,MSD-2087,Rainbow meadows,SINE0096,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0484_MSD-2087_20240620_060000.WAV,RASI_A,3.261726003,3.389324086,498.832,1331.932,0.1276,833.1,1,5,,Spectrogram 1,-64.57
M12-2574,484,20240620_060000,MSD-2087,Rainbow meadows,SINE0096,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0484_MSD-2087_20240620_060000.WAV,RASI_A,3.596670971,3.819967617,539.972,1270.221,0.2233,730.248,1,6,,Spectrogram 1,-64.32
